date,team,rating
2026-02-23,Michigan,28.89476515853268
2026-02-23,Duke,27.021815727874248
2026-02-23,Arizona,26.000611609534392
2026-02-23,Florida,24.74141250510172
2026-02-23,Illinois,23.75543493053432
2026-02-23,Purdue,23.133778906524107
2026-02-23,Iowa St.,22.766115438107207
2026-02-23,Houston,22.496633371643895
2026-02-23,Gonzaga,21.56527971272608
2026-02-23,Tennessee,20.230711130234283
2026-02-23,Alabama,20.054180996845083
2026-02-23,Louisville,19.911349028240707
2026-02-23,Michigan St.,19.910480053976485
2026-02-23,Texas Tech,19.79887571608193
2026-02-23,St. John's,19.6373696213637
2026-02-23,Arkansas,19.325846112740187
2026-02-23,Kansas,19.09386730972483
2026-02-23,Vanderbilt,18.978622498791175
2026-02-23,Connecticut,18.973217512949653
2026-02-23,BYU,18.87147997039311
2026-02-23,Nebraska,17.820195144013425
2026-02-23,Virginia,16.452244033032976
2026-02-23,Kentucky,16.362366418773007
2026-02-23,Iowa,16.323411478533483
2026-02-23,Wisconsin,16.129807571376357
2026-02-23,Saint Louis,16.052640782882463
2026-02-23,Utah St.,15.936413782768206
2026-02-23,Auburn,15.825274368770254
2026-02-23,North Carolina,15.73863137225303
2026-02-23,Texas A&M,15.716303995665427
2026-02-23,Georgia,15.185133699260483
2026-02-23,N.C. State,15.082790786321937
2026-02-23,Ohio St.,14.965933183833501
2026-02-23,Texas,14.850621112072062
2026-02-23,SMU,14.82617004676067
2026-02-23,Saint Mary's,14.744542115920614
2026-02-23,UCLA,14.424896698007853
2026-02-23,Villanova,13.931079606144532
2026-02-23,Clemson,13.608030696657181
2026-02-23,Cincinnati,13.496069316471086
2026-02-23,Indiana,13.28576162474104
2026-02-23,Baylor,12.893839870564292
2026-02-23,Santa Clara,12.828662245180794
2026-02-23,New Mexico,12.523017726121696
2026-02-23,Miami FL,12.166693458729227
2026-02-23,VCU,11.200346064602918
2026-02-23,San Diego St.,10.87005887283827
2026-02-23,TCU,10.839365868046574
2026-02-23,Missouri,10.465324859370913
2026-02-23,Washington,10.298249837215003
2026-02-23,Oklahoma,10.205821118698672
2026-02-23,UCF,10.140944675616678
2026-02-23,Belmont,10.09170415376328
2026-02-23,West Virginia,9.932098345152717
2026-02-23,Boise St.,9.236920818820845
2026-02-23,USC,9.236497513389212
2026-02-23,South Florida,9.202917063024334
2026-02-23,LSU,9.033308321875422
2026-02-23,Virginia Tech,8.976496223483153
2026-02-23,Seton Hall,8.796421138308673
2026-02-23,Northwestern,8.728838383150563
2026-02-23,Minnesota,8.72404408568125
2026-02-23,Arizona St.,8.48920651178061
2026-02-23,Mississippi St.,8.271657680542472
2026-02-23,Providence,8.167739908991411
2026-02-23,High Point,7.929824987773026
2026-02-23,Colorado,7.842044000535131
2026-02-23,Mississippi,7.829223668675461
2026-02-23,Grand Canyon,7.8191262065108065
2026-02-23,Creighton,7.809157267658428
2026-02-23,Oregon,7.804808867414357
2026-02-23,Wake Forest,7.797212550914018
2026-02-23,Butler,7.725405194991522
2026-02-23,California,7.69137486830486
2026-02-23,McNeese St.,7.469029333969303
2026-02-23,Marquette,7.468337066222771
2026-02-23,Nevada,7.456210236161369
2026-02-23,Colorado St.,7.452841682386808
2026-02-23,Akron,7.448011938854447
2026-02-23,Florida St.,7.434068190468931
2026-02-23,Northern Iowa,7.415085383268332
2026-02-23,Xavier,7.005746366091225
2026-02-23,Utah Valley,6.961936405115215
2026-02-23,Stanford,6.947450514250358
2026-02-23,Yale,6.911126627405098
2026-02-23,Tulsa,6.8227756972037765
2026-02-23,Georgetown,6.804409914373142
2026-02-23,Miami OH,6.791958852479151
2026-02-23,Oklahoma St.,6.550680336998749
2026-02-23,Dayton,6.5497685617305255
2026-02-23,Syracuse,6.322108928272765
2026-02-23,George Washington,6.318439247340075
2026-02-23,Wichita St.,6.175528752033742
2026-02-23,Pittsburgh,5.94152242225794
2026-02-23,Maryland,5.8657568524059105
2026-02-23,South Carolina,5.67098155822676
2026-02-23,Illinois St.,5.594646975094523
2026-02-23,Utah,5.591943682521002
2026-02-23,Kansas St.,5.571569296527069
2026-02-23,Notre Dame,5.569030419185538
2026-02-23,Bradley,5.550541606069093
2026-02-23,Hofstra,5.339680855744194
2026-02-23,DePaul,5.139592507182086
2026-02-23,Wyoming,4.587627608359002
2026-02-23,UAB,4.4431862678127825
2026-02-23,St. Thomas,4.256072667298675
2026-02-23,North Dakota St.,4.254891850753827
2026-02-23,Memphis,4.245864751585126
2026-02-23,Illinois Chicago,4.1924549834338825
2026-02-23,Liberty,4.139596040126571
2026-02-23,Southern Illinois,3.97785085012644
2026-02-23,UC Irvine,3.931829420805369
2026-02-23,UNC Wilmington,3.9176159258609795
2026-02-23,Florida Atlantic,3.7462679327215707
2026-02-23,Arkansas St.,3.726679700901789
2026-02-23,George Mason,3.693782760174754
2026-02-23,Duquesne,3.6158767740646343
2026-02-23,UC San Diego,3.5650921307050254
2026-02-23,Sam Houston St.,3.238275660428843
2026-02-23,UNLV,3.058614001572074
2026-02-23,Murray St.,3.033250673618779
2026-02-23,Rutgers,3.005318891523204
2026-02-23,East Tennessee St.,2.7025094430454293
2026-02-23,Penn St.,2.6115680959985155
2026-02-23,Rhode Island,2.465710845009273
2026-02-23,Seattle,2.368233207821155
2026-02-23,Davidson,2.25410175931559
2026-02-23,Washington St.,2.193386491994484
2026-02-23,Hawaii,2.015569925297952
2026-02-23,Stephen F. Austin,1.948200216848849
2026-02-23,San Francisco,1.9323589067449545
2026-02-23,Saint Joseph's,1.9017999725454315
2026-02-23,Harvard,1.829534992904781
2026-02-23,Valparaiso,1.6641066591389624
2026-02-23,Cornell,1.5773765815685608
2026-02-23,Pacific,1.5751757711720886
2026-02-23,William & Mary,1.4101033401387042
2026-02-23,North Texas,1.384950023970391
2026-02-23,Troy,1.0932431774748712
2026-02-23,Richmond,1.0357398378575589
2026-02-23,Drake,0.9852226773931088
2026-02-23,Charleston,0.9243703002895033
2026-02-23,Navy,0.8672042783503541
2026-02-23,Georgia Tech,0.8032508713554898
2026-02-23,UC Santa Barbara,0.7731460792780467
2026-02-23,Winthrop,0.7683149183270521
2026-02-23,St. Bonaventure,0.7565221329830464
2026-02-23,Cal St. Northridge,0.6464455541076772
2026-02-23,Fresno St.,0.5984389997027927
2026-02-23,Merrimack,0.5567746177921631
2026-02-23,Kent St.,0.46964994162783524
2026-02-23,Towson,0.4657627657949191
2026-02-23,Robert Morris,0.41915137374780975
2026-02-23,Cal Baptist,0.3962749714028367
2026-02-23,Western Kentucky,0.35587216366718977
2026-02-23,UT Rio Grande Valley,0.162675024563754
2026-02-23,Fordham,0.1516732387428359
2026-02-23,Boston College,0.12129262042169264
2026-02-23,Middle Tennessee,0.10677054574047319
2026-02-23,Oregon St.,0.02223831181447767
2026-02-23,Temple,0.0022426431301250382
2026-02-23,New Mexico St.,-0.09526664318483699
2026-02-23,Kennesaw St.,-0.12240287134930956
2026-02-23,Northern Colorado,-0.12741392160397458
2026-02-23,Loyola Marymount,-0.1486867611201414
2026-02-23,South Alabama,-0.25456254619963964
2026-02-23,Furman,-0.282068422572704
2026-02-23,Tulane,-0.32175671113697
2026-02-23,Austin Peay,-0.5788418074303465
2026-02-23,Appalachian St.,-0.680687870913849
2026-02-23,Portland St.,-0.6839910717018538
2026-02-23,Toledo,-0.7181237956239591
2026-02-23,Samford,-0.8862919612072363
2026-02-23,Lipscomb,-1.0504796619705
2026-02-23,Indiana St.,-1.113003880012799
2026-02-23,Montana St.,-1.139776013387523
2026-02-23,Mercer,-1.2394248264192504
2026-02-23,Jacksonville St.,-1.2701503649393957
2026-02-23,Oakland,-1.2717577723980584
2026-02-23,Marist,-1.2876900457023632
2026-02-23,Howard,-1.3138737377002236
2026-02-23,Penn,-1.324267105837913
2026-02-23,South Dakota St.,-1.4380944688792106
2026-02-23,Wright St.,-1.4916963578663263
2026-02-23,Youngstown St.,-1.530622699080599
2026-02-23,Siena,-1.6036206292153758
2026-02-23,Central Arkansas,-1.6656593522552627
2026-02-23,Marshall,-1.704054672483606
2026-02-23,Louisiana Tech,-1.7185313621934266
2026-02-23,Massachusetts,-1.8517428704167394
2026-02-23,Charlotte,-1.974436593566982
